PO #,PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=764&external=true&parentUrl=close,PO #99SWC-NV25-25281:764,epro sr-5161,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Rett Smith,3PCR - Complete Receipt,06/18/2025,"$2,089.04"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=765&external=true&parentUrl=close,PO #99SWC-NV25-25281:765,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Division of Water Resources,Madison Heflin,3PCR - Complete Receipt,06/18/2025,$202.49
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=766&external=true&parentUrl=close,PO #99SWC-NV25-25281:766,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Public Safety,Parole Board,Hanna Branchcomb,3PS - Sent,06/18/2025,$673.22
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=767&external=true&parentUrl=close,PO #99SWC-NV25-25281:767,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Public Safety,Parole Board,Hanna Branchcomb,3PS - Sent,06/18/2025,$136.47
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=768&external=true&parentUrl=close,PO #99SWC-NV25-25281:768,Tourniquets Order#2 G2B Amazon,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Forestry Division,Kevin Gearlds,3PCO - Closed,06/20/2025,"$1,486.08"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=769&external=true&parentUrl=close,PO #99SWC-NV25-25281:769,Tourniquets Order#3 G2B Amazon,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Forestry Division,Kevin Gearlds,3PCO - Closed,06/20/2025,"$1,493.00"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=770&external=true&parentUrl=close,PO #99SWC-NV25-25281:770,Amazon - Order for IT - 97.94,"Amazon Capital Services, Inc.",Department of Human Services,Health Care Financing and Policy,Julio Fuentes,3PCR - Complete Receipt,06/20/2025,$97.94
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=772&external=true&parentUrl=close,PO #99SWC-NV25-25281:772,6-20-25 Amazon Marlene HR Stock,"Amazon Capital Services, Inc.",Department of Human Services,Public and Behavioral Health,Matthew Laruccia,3PS - Sent,06/20/2025,$273.50
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=773&external=true&parentUrl=close,PO #99SWC-NV25-25281:773,June Double R Amazon,"Amazon Capital Services, Inc.",Department of Human Services,Health Care Financing and Policy,Alexandra Lopez-Duarte,3PCR - Complete Receipt,06/20/2025,$594.67
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=774&external=true&parentUrl=close,PO #99SWC-NV25-25281:774,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Environmental Protection,Rebecca McKnight,3PS - Sent,06/20/2025,$39.77
